time,user_id,user_name,content,grade,fans_club
21:05:59,4389705835090323,偷狗被打断三条腿,撞车了,[等级3],
21:06:02,3745359929542250,梦醒了訫碎了,骂人了[捂脸],,
21:06:03,110407694978,刘业青,这反应真快,[等级24],[粉丝团 Lv13]
21:06:11,1319017338112280,风,君雅你怎么可以这么粗鲁[捂脸],,
21:06:11,77416951506,ら孤痞,@久久💞ــــﮩﮩ٨ 今晚最后一晚,[等级36],[粉丝团:张君雅 Lv17]
21:06:15,105202219883,英子～,代抽，咋整,[等级26],[粉丝团 Lv8]
21:06:25,103358665061,@初心伴风雨,跑啥上[捂脸],[等级32],
21:06:27,91609062591,久久💞ــــﮩﮩ٨,@ら孤痞 几天！,[等级35],[粉丝团 Lv15]
21:06:36,2786590368470267,木子李,好卡,[等级5],
21:06:40,77416951506,ら孤痞,@久久💞ــــﮩﮩ٨ 五天,[等级36],[粉丝团:张君雅 Lv17]
21:06:43,4862013350589,厉扑,就三个大包,[等级21],[粉丝团 Lv11]
21:06:53,2008152259705040,汉、歼的审判者,对面也是狠人,[等级15],[粉丝团 Lv12]
21:06:54,3703626234604920,有种好叫以前,1080,[等级30],
21:06:56,2928696292811743,超影独行,必须干他[捂脸][捂脸],[等级18],[粉丝团 Lv12]
21:06:57,91609062591,久久💞ــــﮩﮩ٨,@ら孤痞 牛啊牛啊！可以好好浪了,[等级35],[粉丝团 Lv15]
21:07:01,103616874329,太有才了,要放假？,[等级10],[粉丝团 Lv11]
21:07:06,4389705835090323,偷狗被打断三条腿,来撞我呀！,[等级3],
21:07:07,77416951506,ら孤痞,@@初心伴风雨 没看到没血了吗,[等级36],[粉丝团:张君雅 Lv17]
21:07:09,72171159577,🌈花信风,飞什么？,[等级18],[粉丝团 Lv5]
21:07:15,71074166083,乔巴,飞什么,[等级34],[粉丝团 Lv11]
21:07:17,93060552271,小别兔别又别,老板霸气,[等级11],[粉丝团 Lv9]
21:07:17,2008152259705040,汉、歼的审判者,@小c [抱抱你][抱抱你][抱抱你],[等级15],[粉丝团 Lv12]
21:07:20,103428809917,🚬᭄ℯ⃝拿命ღꦿ꯭拼未来᭄,这么卡的吗,[等级7],
21:07:23,4268750669623099,文刀流,1080,[等级9],
21:07:24,82010431673,淡年华,只有对社会没有用的人才放假,[等级39],[粉丝团:张君雅 Lv18]
21:07:28,2928696292811743,超影独行,雅雅哪能忍[捂脸][捂脸],[等级18],[粉丝团 Lv12]
21:07:35,98261208043,麒麟^_^,还是聊天有意思，中午太闷了,[等级16],[粉丝团 Lv12]
21:07:40,2112597085681033,若水三千,[666],,
21:07:44,98579261230,ZiDoung₆₆₆6,1080,[等级15],[粉丝团 Lv3]
21:07:44,4389705835090323,偷狗被打断三条腿,我在军事基地,[等级3],
21:07:46,91609062591,久久💞ــــﮩﮩ٨,@淡年华 [尬笑][尬笑][尬笑][尬笑],[等级35],[粉丝团 Lv15]
21:07:48,55159220102,BWRZ（记录美好）,@淡年华 小学生[看]怎么你了,[等级36],[粉丝团 Lv16]
21:07:50,576585373061480,。,1080,[等级7],[粉丝团 Lv4]
